repository,commit_sha,commit_date,filename,additions,deletions,changes
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Time.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/TypeTraits.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Actor.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Actor.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorAttribute.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorAttribute.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorBlueprint.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorBlueprint.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorList.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorList.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ActorSnapshot.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/BlueprintLibrary.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/BlueprintLibrary.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Client.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ClientSideSensor.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/DebugHelper.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/DebugHelper.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/FileTransfer.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/FileTransfer.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/GarbageCollectionPolicy.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Junction.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Junction.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Landmark.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/LaneInvasionSensor.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/LaneInvasionSensor.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Light.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Light.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/LightManager.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/LightManager.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/LightState.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Map.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Map.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Sensor.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ServerSideSensor.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/ServerSideSensor.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TimeoutException.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TimeoutException.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Timestamp.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TrafficLight.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TrafficLight.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TrafficSign.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/TrafficSign.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Vehicle.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Vehicle.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Walker.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Walker.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/WalkerAIController.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/WalkerAIController.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Waypoint.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/Waypoint.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/World.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/World.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/WorldSnapshot.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorFactory.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorFactory.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorState.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorState.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorVariant.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/ActorVariant.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/CachedActorList.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/CallbackList.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/client/detail/Client.cpp,1,1,2
